,ingresos,jefe_hogar,sexo,edad,estado_civil,escolaridad,time_traba,tipo_traba,horas_traba,sub_alimenta,sub_transpor,sub_fami,sub_edu,horastraba
611,-18,0,1,40,1,6,3,1,48,2,1,2,2,48
612,-18,0,1,23,0,11,3,1,48,2,1,2,2,48
613,0,1,1,48,1,11,56,1,48,2,2,2,2,48
614,-112,1,1,48,1,11,60,1,54,2,2,2,2,54
615,32,1,1,48,1,11,24,4,10,0,0,0,0,10
616,0,0,0,48,1,11,56,1,48,2,2,2,2,48
617,-112,0,0,48,1,11,60,1,54,2,2,2,2,54
618,32,0,0,48,1,11,24,4,10,0,0,0,0,10
619,0,0,0,20,0,12,56,1,48,2,2,2,2,48
620,-112,0,0,20,0,12,60,1,54,2,2,2,2,54
621,32,0,0,20,0,12,24,4,10,0,0,0,0,10
622,32,1,0,20,0,11,8,3,40,2,2,2,2,40
623,0,1,0,20,0,11,8,6,24,0,0,0,0,24
624,32,0,0,22,0,15,8,3,40,2,2,2,2,40
625,0,0,0,22,0,15,8,6,24,0,0,0,0,24
626,96,1,1,59,1,11,-80,1,48,2,2,2,2,48
627,96,0,0,59,1,14,-80,1,48,2,2,2,2,48
628,-64,1,1,65,0,11,12,1,22,2,2,2,2,22
629,0,1,1,35,1,13,-76,2,60,1,2,1,2,60
630,0,0,0,30,1,14,-76,2,60,1,2,1,2,60
631,-32,1,0,63,0,9,104,1,50,2,1,2,2,50
632,-32,1,0,63,0,9,8,1,48,2,1,1,2,48
633,-32,1,0,63,0,9,5,1,48,2,2,2,2,48
634,-32,0,1,34,0,14,104,1,50,2,1,2,2,50
635,-32,0,1,34,0,14,8,1,48,2,1,1,2,48
636,-32,0,1,34,0,14,5,1,48,2,2,2,2,48
637,-32,0,1,30,0,11,104,1,50,2,1,2,2,50
638,-32,0,1,30,0,11,8,1,48,2,1,1,2,48
639,-32,0,1,30,0,11,5,1,48,2,2,2,2,48
640,-112,1,1,50,0,11,5,1,56,2,1,1,2,56
641,-18,1,1,50,0,11,48,1,48,2,1,2,2,48
642,-112,0,0,78,0,5,5,1,56,2,1,1,2,56
643,-18,0,0,78,0,5,48,1,48,2,1,2,2,48
644,-112,0,0,48,0,11,5,1,56,2,1,1,2,56
645,-18,0,0,48,0,11,48,1,48,2,1,2,2,48
646,64,1,1,76,1,4,60,1,48,2,1,2,2,48
647,64,0,0,67,1,3,60,1,48,2,1,2,2,48
648,64,0,0,42,0,11,60,1,48,2,1,2,2,48
649,-32,1,1,45,1,11,60,4,50,0,0,0,0,50
650,0,1,1,45,1,11,36,4,50,0,0,0,0,50
651,-32,0,0,50,1,11,60,4,50,0,0,0,0,50
652,0,0,0,50,1,11,36,4,50,0,0,0,0,50
653,-32,0,1,20,0,12,60,4,50,0,0,0,0,50
654,0,0,1,20,0,12,36,4,50,0,0,0,0,50
655,-18,1,0,59,0,11,7,1,48,2,1,1,2,48
656,-18,0,0,23,0,11,7,1,48,2,1,1,2,48
657,-18,0,0,90,0,3,7,1,48,2,1,1,2,48
658,-128,1,0,70,1,9,-112,4,20,0,0,0,0,20
659,-96,1,0,70,1,9,11,1,48,2,2,2,2,48
660,-18,1,0,70,1,9,3,1,48,2,2,2,2,48
661,-128,0,1,69,1,7,-112,4,20,0,0,0,0,20
662,-96,0,1,69,1,7,11,1,48,2,2,2,2,48
663,-18,0,1,69,1,7,3,1,48,2,2,2,2,48
664,-128,0,0,44,0,16,-112,4,20,0,0,0,0,20
665,-96,0,0,44,0,16,11,1,48,2,2,2,2,48
666,-18,0,0,44,0,16,3,1,48,2,2,2,2,48
667,-128,0,1,20,0,11,-112,4,20,0,0,0,0,20
668,-96,0,1,20,0,11,11,1,48,2,2,2,2,48
669,-18,0,1,20,0,11,3,1,48,2,2,2,2,48
670,64,1,1,56,0,16,56,4,40,0,0,0,0,40
671,-40,1,1,41,1,13,120,2,60,2,2,1,2,60
672,-40,0,0,33,1,14,120,2,60,2,2,1,2,60
673,32,1,1,35,1,13,1,1,48,2,1,9,2,48
674,-18,1,1,35,1,13,120,1,48,2,1,1,2,48
675,32,0,0,33,1,13,1,1,48,2,1,9,2,48
676,-18,0,0,33,1,13,120,1,48,2,1,1,2,48
677,-112,1,1,49,1,16,36,4,40,0,0,0,0,40
678,-128,1,1,50,0,8,-16,4,48,0,0,0,0,48
679,64,1,1,40,1,11,96,4,48,0,0,0,0,48
680,-48,1,1,40,1,11,40,1,48,2,1,2,2,48
681,64,0,0,27,1,14,96,4,48,0,0,0,0,48
682,-48,0,0,27,1,14,40,1,48,2,1,2,2,48
683,96,1,1,41,1,17,4,1,48,2,1,2,2,48
684,-18,1,1,41,1,17,18,1,48,2,1,2,2,48
685,96,0,0,40,1,14,4,1,48,2,1,2,2,48
686,-18,0,0,40,1,14,18,1,48,2,1,2,2,48
687,96,0,1,23,0,11,4,1,48,2,1,2,2,48
688,-18,0,1,23,0,11,18,1,48,2,1,2,2,48
689,96,1,0,42,1,11,8,1,40,2,2,2,2,40
690,96,0,1,24,0,14,8,1,40,2,2,2,2,40
691,-128,1,1,59,1,11,-4,1,48,2,1,2,2,48
692,-18,1,1,59,1,11,2,1,48,2,1,2,2,48
693,-32,1,1,59,1,11,60,1,48,2,1,2,2,48
